id,companyName,url,industry,employeeCount,challenges,reasons,effects,fullText,createdAt,usageScale
60001,ゆうみらい小児歯科・矯正歯科,https://www.officedeyasai.jp/interview/%e3%82%86%e3%81%86%e3%81%bf%e3%82%89%e3%81%84%e5%b0%8f%e5%85%90%e6%ad%af%e7%a7%91%e3%83%bb%e7%9f%af%e6%ad%a3%e6%ad%af%e7%a7%91/,医療・ヘルスケア,17,"[""従業員の健康的な食事を支援したい"",""従業員満足度を上げたい""]","[""食育を考える立場にあり、「自分たちから健康にならなくていけない」と分かった"",""「健康」と「野菜が主軸」ことから、食育の一貫として導入を決めた""]","[""スタッフの経済的負担の軽減（コンビニに行く回数が減った）""]","
## [1] 「ゆうみらい小児歯科・矯正歯科」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e3%82%86%e3%81%86%e3%81%bf%e3%82%89%e3%81%84%e5%b0%8f%e5%85%90%e6%ad%af%e7%a7%91%e3%83%bb%e7%9f%af%e6%ad%a3%e6%ad%af%e7%a7%91/

課題
従業員の健康的な食事を支援したい
従業員満足度を上げたい
決め手
食育を考える立場にあり、「自分たちから健康にならなくていけない」と分かった
「健康」と「野菜が主軸」ことから、食育の一貫として導入を決めた
効果
スタッフの経済的負担の軽減（コンビニに行く回数が減った）
社員の野菜・果物を食べる習慣がついた
健康志向＆豊富な野菜メニューが導入の決め手！
導入後のアンケート結果も紹介
従業員の食生活について、課題を抱える企業は少なくありません。
現代における健康的な生活に最も深く関わるキーワードである「食」。
昨今働き世代",2025-10-30 11:50:51,11〜50名
60002,ヴァンテージマネジメント株式会社,https://www.officedeyasai.jp/interview/%e3%82%a6%e3%82%99%e3%82%a1%e3%83%b3%e3%83%86%e3%83%bc%e3%82%b7%e3%82%99%e3%83%9e%e3%83%8d%e3%82%b7%e3%82%99%e3%83%a1%e3%83%b3%e3%83%88%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,飲食・食品,,"[""食環境を充実させたい"",""従業員の健康的な食事を支援したい"",""社内コミュニケーションを活性化したい""]","[""食事から従業員の健康意識を上げたかった"",""設置型でいつでも好きなときに利用できる""]","[""健康を意識する従業員が増えた""]","
## [2] 「ヴァンテージマネジメント株式会社」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e3%82%a6%e3%82%99%e3%82%a1%e3%83%b3%e3%83%86%e3%83%bc%e3%82%b7%e3%82%99%e3%83%9e%e3%83%8d%e3%82%b7%e3%82%99%e3%83%a1%e3%83%b3%e3%83%88%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/

課題
食環境を充実させたい
従業員の健康的な食事を支援したい
社内コミュニケーションを活性化したい
決め手
食事から従業員の健康意識を上げたかった
設置型でいつでも好きなときに利用できる
効果
健康を意識する従業員が増えた
買いに行く手間が省けたことで、常に利用されている状態
「食事」を見直すきっかけに！会社全体の健康意識がアップ
一人暮らしの社員の健康が心配・・・
「OFFICE DE YASAI」を取り入れたきっかけは、
",2025-10-30 11:50:51,101〜500名
60003,ギークス株式会社,https://www.officedeyasai.jp/interview/%e3%82%ae%e3%83%bc%e3%82%af%e3%82%b9%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,人材サービス,1,"[""社内コミュニケーションを活性化したい"",""従業員の健康的な食事を支援したい"",""従業員満足度を上げたい""]","[""従業員エンゲージメントを向上できると感じた"",""手軽に野菜を取ることが出来、食事の選択肢を増やせると感じた""]","[""お菓子の代わりに「オフィスで野菜」を利用するなど健康に気を遣う社員が増えた""]","
## [3] 「ギークス株式会社」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e3%82%ae%e3%83%bc%e3%82%af%e3%82%b9%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/

課題
社内コミュニケーションを活性化したい
従業員の健康的な食事を支援したい
従業員満足度を上げたい
決め手
従業員エンゲージメントを向上できると感じた
手軽に野菜を取ることが出来、食事の選択肢を増やせると感じた
効果
お菓子の代わりに「オフィスで野菜」を利用するなど健康に気を遣う社員が増えた
おいしかった商品の話など、社員のコミュニケーションの活性化につながった
健康に関する意識が高まり体を動かすようになった社員もいる
間食のお菓子を野菜に変えて、健康増進！
1人暮らしや外食続き…不安だった従業員の健康管理
従業員から、食生活の改善・健康増進に関する要望が増えてきたため、
従業員満足度の向上施策として
検討したことが、OFFICE DE Y",2025-10-30 11:50:51,101〜500名
60004,コマニー株式会社,https://www.officedeyasai.jp/interview/%e3%82%b3%e3%83%9e%e3%83%8b%e3%83%bc%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,医療・ヘルスケア,,"[""採用を強化したい"",""食環境を充実させたい"",""従業員の健康的な食事を支援したい"",""健康経営を推進したい""]","[""健康経営の取り組みにおいて食に関する取組が無く、食事面のサポートが必要だと感じていた"",""フロア改装をきっかけに食事面でも職場環境を改善したかった"",""設置型でいつでも利用できるサービスであった""]","[""導入3ヶ月後にとったアンケートで「美味しい」「便利」という反応""]","
## [4] 「コマニー株式会社」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e3%82%b3%e3%83%9e%e3%83%8b%e3%83%bc%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/

課題
採用を強化したい
食環境を充実させたい
従業員の健康的な食事を支援したい
健康経営を推進したい
決め手
健康経営の取り組みにおいて食に関する取組が無く、食事面のサポートが必要だと感じていた
フロア改装をきっかけに食事面でも職場環境を改善したかった
設置型でいつでも利用できるサービスであった
効果
導入3ヶ月後にとったアンケートで「美味しい」「便利」という反応
採用に貢献するツールのひとつとなった
健康経営を推進する企業が選んだ福利厚生とは？
OFFICE DE YASAI（オフィスで野菜）は、サービス開始から約5年の2019年7月時点で、
累計1,300拠点以上
ものお客様に導入いただいています。
導入いただくきっかけはさまざまですが、",2025-10-30 11:50:51,"1,001名〜"
60005,トレジャーデータ株式会社,https://www.officedeyasai.jp/interview/%e3%83%88%e3%83%ac%e3%82%b8%e3%83%a3%e3%83%bc%e3%83%87%e3%83%bc%e3%82%bf%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e6%a7%98/,IT・テクノロジー,,"[""食環境を充実させたい"",""社内コミュニケーションを活性化したい""]","[""健康的な色の選択肢を増やすことが出来ると感じた"",""少しでも社員のコミュニケーションを増やせると感じた"",""社員が会社を好きになってもらい、ビジネスの発展に繋げたかった""]","[""食の選択肢が増えた""]","
## [5] 「トレジャーデータ株式会社」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e3%83%88%e3%83%ac%e3%82%b8%e3%83%a3%e3%83%bc%e3%83%87%e3%83%bc%e3%82%bf%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e6%a7%98/

課題
食環境を充実させたい
社内コミュニケーションを活性化したい
決め手
健康的な色の選択肢を増やすことが出来ると感じた
少しでも社員のコミュニケーションを増やせると感じた
社員が会社を好きになってもらい、ビジネスの発展に繋げたかった
効果
食の選択肢が増えた
「オフィスで野菜」をきっかけに社員同士のコミュニケーションが増えた
社員の定着化とコミュニケーション円滑化が会社の発展に繋がる
トレジャーデータ株式会社は、日本人創業者3名がシリコンバレーで創業した会社。今は社員数が全体で165名、うち84名が日本勤務しており、またその中の半数がエンジニア",2025-10-30 11:50:51,11〜50名
60006,バレットグループ株式会社,https://www.officedeyasai.jp/interview/%e3%83%90%e3%83%ac%e3%83%83%e3%83%88%e3%82%b0%e3%83%ab%e3%83%bc%e3%83%97/,IT・テクノロジー,,"[""社内コミュニケーションを活性化したい"",""従業員の健康的な食事を支援したい""]","[""社員の健康支援とコミュニケーション促進"",""働きがいが生まれるようなきっかけを提供したい""]","[""社員から愛される福利厚生へ""]","
## [6] 「バレットグループ株式会社」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e3%83%90%e3%83%ac%e3%83%83%e3%83%88%e3%82%b0%e3%83%ab%e3%83%bc%e3%83%97/

課題
社内コミュニケーションを活性化したい
従業員の健康的な食事を支援したい
決め手
社員の健康支援とコミュニケーション促進
働きがいが生まれるようなきっかけを提供したい
効果
社員から愛される福利厚生へ
野菜をきっかけに健康意識が高まった
業務では関わらない社員との交流のきっかけとなった
従業員がいきいきと働く鍵は「コミュニケーション促進」にあり
バレットグループ株式会社は「人とテクノロジーで世界をつなぐ」をビジョンに、Web広告事業や人材コンサルティング事業、グローバルソリューション事業などを多角的に展開するITベンチャー企業です。2013年の創立以来、堅調な事業成長を続けており6期目にして、社員数は130名を超えています。
オフ",2025-10-30 11:50:52,101〜500名
60007,日本マクドナルド株式会社,https://www.officedeyasai.jp/interview/%e6%97%a5%e6%9c%ac%e3%83%9e%e3%82%af%e3%83%89%e3%83%8a%e3%83%ab%e3%83%89%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,飲食・食品,,"[""食環境を充実させたい""]","[""安価かつ手軽に野菜を摂れる"",""旬の野菜だけでなく、無添加のフルーツやジュースなどバリエーションも多い""]","[""健康的な食事をとれるようになった""]","
## [7] 「日本マクドナルド株式会社」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e6%97%a5%e6%9c%ac%e3%83%9e%e3%82%af%e3%83%89%e3%83%8a%e3%83%ab%e3%83%89%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/

課題
食環境を充実させたい
決め手
安価かつ手軽に野菜を摂れる
旬の野菜だけでなく、無添加のフルーツやジュースなどバリエーションも多い
効果
健康的な食事をとれるようになった
ランチの際の移動の手間が省けた
従業員が輝くための環境づくりに挑む
日本マクドナルドの働き方改善ための取り組みとは
日本マクドナルド株式会社は、ハンバーガーチェーン「マクドナルド」を経営する企業。創業以来、クイックサービスレストランとしての最高の店舗体験の提供により、お客様にとって「お気に入りの食事の場とスタイルであり続けること」をミッションとしています。そして、「QSC＆V ※」をレストラ",2025-10-30 11:50:52,"1,001名〜"
60008,日東電工株式会社,https://www.officedeyasai.jp/interview/%e6%97%a5%e6%9d%b1%e9%9b%bb%e5%b7%a5%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,医療・ヘルスケア,,"[""社内コミュニケーションを活性化したい"",""従業員の健康的な食事を支援したい"",""健康経営を推進したい""]","[""トライアル導入時のアンケートで従業員の健康意識の変化が確認できた"",""実際に食生活の改善につながる仕組みである"",""見栄えの良さと美味しさによって継続利用が期待できること""]","[""オフィスで野菜導入後の従業員アンケートで健康意識に変化があったと3分の2以上の人が回答した""]","
## [8] 「日東電工株式会社」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e6%97%a5%e6%9d%b1%e9%9b%bb%e5%b7%a5%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/

課題
社内コミュニケーションを活性化したい
従業員の健康的な食事を支援したい
健康経営を推進したい
決め手
トライアル導入時のアンケートで従業員の健康意識の変化が確認できた
実際に食生活の改善につながる仕組みである
見栄えの良さと美味しさによって継続利用が期待できること
効果
オフィスで野菜導入後の従業員アンケートで健康意識に変化があったと3分の2以上の人が回答した
従業員の食生活改善に対して、オフィスで野菜商品を用いて具体的な提案ができるようになった/li>
「お菓子を食べる機会が減った」「お弁当にプラス一品として活用される」など、野菜や果物など健康的な商品が日常の食生活に取り入れられるようになった。
健康意識を高める施策から、働きがいと生",2025-10-30 11:50:52,"1,001名〜"
60009,株式会社インタースペース,https://www.officedeyasai.jp/interview/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%a4%e3%83%b3%e3%82%bf%e3%83%bc%e3%82%b9%e3%83%9a%e3%83%bc%e3%82%b9/,小売・流通,,"[""食環境を充実させたい"",""社内コミュニケーションを活性化したい"",""従業員の健康的な食事を支援したい""]","[""一人暮らしの野菜不足を解消できると感じた"",""社員の健康サポートを取り組みたかった""]","[""野菜を手軽に摂れるようになり、野菜を以前より食べるようになったとの社員の声も多くなった""]","
## [9] 「株式会社インタースペース」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%a4%e3%83%b3%e3%82%bf%e3%83%bc%e3%82%b9%e3%83%9a%e3%83%bc%e3%82%b9/

課題
食環境を充実させたい
社内コミュニケーションを活性化したい
従業員の健康的な食事を支援したい
決め手
一人暮らしの野菜不足を解消できると感じた
社員の健康サポートを取り組みたかった
効果
野菜を手軽に摂れるようになり、野菜を以前より食べるようになったとの社員の声も多くなった
忙しいママ社員のエネルギー源　・社内のコミュニケ―ションや雰囲気づくりにも一役買っている
健康な食事がいつでもすぐに。
忙しいオフィスワーカーの救世主！
ひとり暮らしの野菜不足を
OFFICE DE YASAI
で
サポート！
当社では、社内全体の健康を保つために、 労働安全衛生法に基づ",2025-10-30 11:50:52,101〜500名
60010,株式会社パルディア,https://www.officedeyasai.jp/interview/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%83%91%e3%83%ab%e3%83%87%e3%82%a3%e3%82%a2/,その他,,"[""社内コミュニケーションを活性化したい"",""従業員の健康的な食事を支援したい""]","[""社員の健康面を改善したかった"",""お菓子や菓子パンに変わる間食として利用できると思った""]","[""OFFICE DE YASAIをキッカケにコミュニケーションの輪が広がっている""]","
## [10] 「株式会社パルディア」の導入事例 | OFFICE DE YASAI（オフィスで野菜）

**URL:** https://www.officedeyasai.jp/interview/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%83%91%e3%83%ab%e3%83%87%e3%82%a3%e3%82%a2/

課題
社内コミュニケーションを活性化したい
従業員の健康的な食事を支援したい
決め手
社員の健康面を改善したかった
お菓子や菓子パンに変わる間食として利用できると思った
効果
OFFICE DE YASAIをキッカケにコミュニケーションの輪が広がっている
お菓子に代わる間食として、またお弁当のプラス1品として活用している社員が多い
「働きがいのある会社」ランキング2年連続選出！その強みは？
スナック菓子に、菓子パン…社員の健康面が心配！
当社で働いている社員は比較的若いメンバーが多いのですが、社員たちを見て気になっていたのが「間食」。
スナック菓子や菓子パンを食べている社員の姿を見て「この食生活で健康面は大丈夫だろうか…",2025-10-30 11:50:53,51名〜100名
